"Name
","Description
"
"test_freezeframe
","Test the freeze frame code.
"
"Test_InitRandomEntitySpawner
","
"
"test_js_proto
","Run a simple set of tests converting back and forth between JS and Protobuf objects.
"
"Test_Loop
","Test_Loop <loop name> - loop back to the specified loop start point unconditionally.
"
"Test_LoopCount
","Test_LoopCount <loop name> <count> - loop back to the specified loop start point the specified # of times.
"
"Test_LoopForNumSeconds
","Test_LoopForNumSeconds <loop name>  - loop back to the specified start point for the specified # of seconds.
"
"test_outtro_stats
","
"
"Test_ProxyToggle_EnableProxy
","
"
"Test_ProxyToggle_EnsureValue
","Test_ProxyToggle_EnsureValue
"
"Test_ProxyToggle_SetValue
","
"
"Test_RandomChance
","Test_RandomChance <percent chance, 0-100> <token1> <token2...> - Roll the dice and maybe run the command following the percenta
"
"Test_RandomizeInPVS
","
"
"Test_RemoveAllRandomEntities
","
"
"Test_RunFrame
","
"
"Test_SendKey
","
"
"Test_SpawnRandomEntities
","
"
"Test_StartLoop
","Test_StartLoop <loop name> - Denote the start of a loop. Really just defines a named point you can jump to.
"
"Test_StartScript
","Start a test script running..
"
"Test_Wait
","
"
"Test_WaitForCheckPoint
","
"
"testhudanim
","Test a hud element animation.
	Arguments: <anim name>


"
"thirdperson
","Switch to thirdperson camera.
"
"thirdperson_mayamode
","Switch to thirdperson Maya-like camera controls.
"
"thread_test_tslist
","
"
"thread_test_tsqueue
","
"
"threadpool_cycle_reserve
","Cycles threadpool reservation by powers of 2
"
"threadpool_run_tests
","
"
"timedemo
","Play a demo and report performance info.
"
"timedemo_vprofrecord
","Play a demo and report performance info.  Also record vprof data for the span of the demo
"
"timedemoquit
","Play a demo, report performance info, and then exit
"
"timeleft
","prints the time remaining in the match
"
"timeout_ct_start
","
"
"timeout_terrorist_start
","
"
"timerefresh
","Profile the renderer.
"
"toggle
","Toggles a convar on or off, or cycles through a set of values.
"
"toggle_duck
","
"
"toggleconsole
","Show/hide the console.
"
"toggleLmapPath
","toggleLmapPath
"
"togglescores
","Toggles score panel
"
"toggleShadowPath
","Toggles CSM generation method
"
"toggleUnlitPath
","toggleUnlitPath
"
"toggleVtxLitPath
","toggleVtxLitPath
"
"toolload
","Load a tool.
"
"toolunload
","Unload a tool.
"
"traceattack
","traceattack damage hitgroup
"
"tv_broadcast_resend
","resend broadcast data to broadcast relay
"
"tv_broadcast_status
","Print out broadcast status
"
"tv_clients
","Shows list of connected GOTV clients [-instance <inst> ]
"
"tv_mem
","hltv memory statistics
"
"tv_msg
","Send a screen message to all clients [-instance <inst> ]
"
"tv_record
","Starts GOTV demo recording [-instance <inst> ]
"
"tv_relay
","Connect to GOTV server and relay broadcast.
"
"tv_retry
","Reconnects the GOTV relay proxy
"
"tv_status
","Show GOTV server status.
"
"tv_stop
","Stops the GOTV broadcast [-instance <inst> ]
"
"tv_stoprecord
","Stops GOTV demo recording [-instance <inst> ]
"
"tv_time_remaining
","Print remaining tv broadcast time
"
"tweak_ammo_impulses
","Allow real-time tweaking of the ammo impulse values.
"
"ui_reloadscheme
","Reloads the resource files for the active UI window
"
"unbind
","Unbind a key.
"
"unbindall
","Unbind all keys.
"
"unbindalljoystick
","Unbind all joystick keys.
"
"unbindallmousekeyboard
","Unbind all mouse / keyboard keys.
"
"unpause
","Unpause the game.
"
"use
","Use a particular weapon
Arguments: <weapon_name>

"
"'-use'
","
"
"'+use'
","
"
"user
","Show user data.
"
"users
","Show user info for players on server.
"
"vehicle_flushscript
","Flush and reload all vehicle scripts
"
"version
","Print version info string.
"
"'-vgui_drawtree'
","
"
"'+vgui_drawtree'
","
"
"vgui_drawtree_clear
","
"
"vgui_dump_panels
","vgui_dump_panels [visible]
"
"vgui_spew_fonts
","
"
"vgui_togglepanel
","show/hide vgui panel by name.
"
"viewanim_addkeyframe
","
"
"viewanim_create
","viewanim_create
"
"viewanim_load
","load animation from file
"
"viewanim_reset
","reset view angles!
"
"viewanim_save
","Save current animation to file
"
"viewanim_test
","test view animation
"
"voice_enable_toggle
","Toggles voice_enable convar.
"
"voice_mute
","Mute a specific Steam user
"
"voice_player_volume
","
"
"voice_reset_mutelist
","Reset all mute information for all players who were ever muted.
"
"voice_show_mute
","Show whether current players are muted.
"
"voice_unmute
","Unmute a specific Steam user, or `all` to unmute all connected players.
"
"'-voicerecord'
","
"
"'+voicerecord'
","
"
"voicerecord_toggle
","
"
"vox_reload
","Reload sentences.txt file
"
"voxeltree_box
","View entities in the voxel-tree inside box <Vector(min), Vector(max)>.
"
"voxeltree_playerview
","View entities in the voxel-tree at the player position.
"
"voxeltree_sphere
","View entities in the voxel-tree inside sphere <Vector(center), float(radius)>.
"
"voxeltree_view
","View entities in the voxel-tree.
"
"vphys_sleep_timeout
","set sleep timeout: large values mean stuff won't ever sleep
"
"vprof
","Toggle VProf profiler
"
"vprof_adddebuggroup1
","add a new budget group dynamically for debugging
"
"vprof_cachemiss
","Toggle VProf cache miss checking
"
"vprof_cachemiss_off
","Turn off VProf cache miss checking
"
"vprof_cachemiss_on
","Turn on VProf cache miss checking
"
"vprof_child
","
"
"vprof_collapse_all
","Collapse the whole vprof tree
"
"vprof_dump_counters
","Dump vprof counters to the console
"
"vprof_dump_groupnames
","Write the names of all of the vprof groups to the console.
"
"vprof_expand_all
","Expand the whole vprof tree
"
"vprof_expand_group
","Expand a budget group in the vprof tree by name
"
"vprof_generate_report
","Generate a report to the console.
"
"vprof_generate_report_AI
","Generate a report to the console.
"
"vprof_generate_report_AI_only
","Generate a report to the console.
"
"vprof_generate_report_budget
","Generate a report to the console based on budget group.
"
"vprof_generate_report_hierarchy
","Generate a report to the console.
"
"vprof_generate_report_hierarchy_per_frame_and_count_only
","Generate a minimal hiearchical report to the console.
"
"vprof_generate_report_map_load
","Generate a report to the console.
"
"vprof_nextsibling
","
"
"vprof_off
","Turn off VProf profiler
"
"vprof_on
","Turn on VProf profiler
"
"vprof_parent
","
"
"vprof_playback_average
","Average the next N frames.
"
"vprof_playback_start
","Start playing back a recorded .vprof file.
"
"vprof_playback_step
","While playing back a .vprof file, step to the next tick.
"
"vprof_playback_stepback
","While playing back a .vprof file, step to the previous tick.
"
"vprof_playback_stop
","Stop playing back a recorded .vprof file.
"
"vprof_prevsibling
","
"
"vprof_record_start
","Start recording vprof data for playback later.
"
"vprof_record_stop
","Stop recording vprof data
"
"vprof_remote_start
","Request a VProf data stream from the remote server (requires authentication)
"
"vprof_remote_stop
","Stop an existing remote VProf data request
"
"vprof_reset
","Reset the stats in VProf profiler
"
"vprof_reset_peaks
","Reset just the peak time in VProf profiler
"
"vprof_to_csv
","Convert a recorded .vprof file to .csv.
"
"vprof_vtune_group
","enable vtune for a particular vprof group ('disable' to disable)
"
"vtune
","Controls VTune's sampling.
"
"vx_model_list
","Dump models to VXConsole
"
"'+walk'
","
"
"'-walk'
","
"
"wc_air_edit_further
","When in WC edit mode and editing air nodes,  moves position of air node crosshair and placement location further away from play
"
"wc_air_edit_nearer
","When in WC edit mode and editing air nodes,  moves position of air node crosshair and placement location nearer to from player
"
"wc_air_node_edit
","When in WC edit mode, toggles laying down or air nodes instead of ground nodes
"
"wc_create
","When in WC edit mode, creates a node where the player is looking if a node is allowed at that location for the currently select
"
"wc_destroy
","When in WC edit mode, destroys the node that the player is nearest to looking at.  (The node will be highlighted by a red box).
"
"wc_destroy_undo
","When in WC edit mode restores the last deleted node
"
"wc_link_edit
","
"
"whitelistcmd
","Runs a whitelisted command.
"
"wipe_nav_attributes
","Clear all nav attributes of selected area.
"
"workshop_publish
","Bring up the Workshop Publish dialog.
"
"workshop_start_map
","Sets the first map to load once a workshop collection been hosted. Takes the file id of desired start map as a parameter.
"
"workshop_workbench
","Bring up the Workshop workbench dialog.
"
"writeid
","Writes a list of permanently-banned user IDs to banned_user.cfg.
"
"writeip
","Save the ban list to banned_ip.cfg.
"
"xload
","Load a saved game from a console storage device.
"
"xlook
","
"
"xmove
","
"
"xsave
","Saves current game to a console storage device.
"
"'-zoom'
","
"
"'+zoom'
","
"
"'-zoom_in'
","
"
"'+zoom_in'
","
"
"'-zoom_out'
","
"
"'+zoom_out'
","
"
